Account,Link,Followers,Audience Country,Authentic engagement,Engagement avg,Category1,Hashtags,Cost Story,Cost Post
iamcardib,https://www.instagram.com/iamcardib/,123100000.0,United States,1800000.0,2600000.0,Music,"['#blessed', '#education', '#photographer', '#selfies', '#foodie', '#happiness', '#beautifuldestinations', '#foodieforlife']",108000.0,252000.00000000003
jin,https://www.instagram.com/jin/,28400000.0,United States,11100000.0,11100000.0,Undefined,"['#life', '#couplesgoals', '#naturelovers', '#holidayseason', '#travelphotography']",666000.0,1554000.0000000002
agustd,https://www.instagram.com/agustd/,27900000.0,,10600000.0,10600000.0,Undefined,"['#smilemore', '#nature', '#beautifulday', '#coffee', '#couplesgoals', '#yoga', '#telecom']",636000.0,1484000.0000000002
therock,https://www.instagram.com/therock/,295800000.0,India,741000.0,994800.0,Cinema,"['#sun', '#music', '#trainhard', '#selfie', '#family', '#inspiration', '#igers', '#naturelovers']",44460.0,103740.00000000001
instagram,https://www.instagram.com/instagram/,469600000.0,India,490400.0,608100.0,Photography,"['#familytime', '#happynewyear', '#friendsforlife', '#sun', '#new', '#health']",29424.0,68656.0
zayn,https://www.instagram.com/zayn/,44500000.0,India,3800000.0,6000000.0,Music,['#foodieforlife'],228000.0,532000.0
champagnepapi,https://www.instagram.com/champagnepapi/,102600000.0,United States,1500000.0,2500000.0,Music,"['#foodie', '#fitnessmotivation', '#athlete', '#sundayfunday', '#foodgrammer', '#fashionstyle']",90000.0,210000.00000000003
rkive,https://www.instagram.com/rkive/,28000000.0,,8900000.0,8900000.0,Undefined,"['#like4like', '#athlete', '#goodnight', '#goodmorning', '#transportation']",534000.0,1246000.0000000002
kourtneykardash,https://www.instagram.com/kourtneykardash/,162200000.0,United States,1100000.0,1500000.0,Lifestyle,"['#fashionstyle', '#success', '#workoutmotivation', '#goodmorning', '#life', '#foodie', '#education', '#foodlover', '#likeforlike', '#happyme']",66000.0,154000.00000000003
uarmyhope,https://www.instagram.com/uarmyhope/,28500000.0,United States,8500000.0,8500000.0,Undefined,"['#trailrunning', '#musiclover', '#goodtimes', '#foodgrammer', '#art', '#luxury', '#strength', '#styleinspiration', '#cars', '#media']",510000.0,1190000.0
badbunnypr,https://www.instagram.com/badbunnypr/,37800000.0,United States,4100000.0,6500000.0,Music,"['#motivational', '#like4like', '#summer2022', '#workoutmotivation', '#fit', '#cycling', '#fitness', '#follow']",246000.0,574000.0
katrinakaif,https://www.instagram.com/katrinakaif/,61600000.0,India,3300000.0,3800000.0,Beauty,"['#fitspo', '#success']",198000.0,462000.00000000006
adele,https://www.instagram.com/adele/,49100000.0,United States,2800000.0,3900000.0,Music,"['#familytime', '#dogsofinstagram', '#lovequotes']",168000.0,392000.00000000006
harrystyles,https://www.instagram.com/harrystyles/,43000000.0,Brazil,3000000.0,4000000.0,Music,"['#blackandwhite', '#landscapephotography', '#cars', '#dogstagram']",180000.0,420000.00000000006
kingjames,https://www.instagram.com/kingjames/,111400000.0,United States,884300.0,1500000.0,Sports with a ball,"['#getfit', '#strength', '#goodtimes', '#marathon', '#funny', '#love', '#foodbloggerlife', '#fashionphotography', '#goodvibes', '#fashion']",53058.0,123802.00000000001
jlo,https://www.instagram.com/jlo/,194900000.0,United States,679200.0,856000.0,Music,"['#foodnetwork', '#ootd', '#happy', '#love', '#friendsforlife']",40752.0,95088.00000000001
k.mbappe,https://www.instagram.com/k.mbappe/,65800000.0,France,1700000.0,2400000.0,Sports with a ball,"['#photo', '#beautifuldestinations', '#shopping', '#beautyblogger']",102000.0,238000.00000000003
karolg,https://www.instagram.com/karolg/,47300000.0,Mexico,2600000.0,3200000.0,Music,"['#strength', '#nature', '#foodoftheday', '#hockey', '#musiclover', '#likeforlike', '#beautifuldestinations']",156000.0,364000.00000000006
gigihadid,https://www.instagram.com/gigihadid/,72300000.0,United States,1300000.0,1900000.0,Modeling,"['#follow4follow', '#ootd', '#gym', '#foodjunkie']",78000.0,182000.00000000003
anushkasharma,https://www.instagram.com/anushkasharma/,56900000.0,India,2200000.0,2400000.0,Cinema,"['#foodoftheday', '#loveit', '#foodislifee', '#naturephotography', '#beautifulday', '#beach', '#sports']",132000.0,308000.00000000006
narendramodi,https://www.instagram.com/narendramodi/,65300000.0,India,1800000.0,2000000.0,Finance,"['#sports', '#sundayfunday', '#food', '#beautifulday', '#naturephotography']",108000.0,252000.00000000003
eunwo.o_c,https://www.instagram.com/eunwo.o_c/,26500000.0,Indonesia,3700000.0,4600000.0,Music,"['#endurance', '#energy', '#picoftheday', '#cardio', '#like4like', '#beauty', '#followme', '#football', '#doglover']",222000.0,518000.00000000006
dualipa,https://www.instagram.com/dualipa/,78700000.0,Mexico,1200000.0,1400000.0,Music,"['#foodoftheday', '#foodgawker', '#photo', '#entrepreneur', '#success', '#swimming', '#instaphoto']",72000.0,168000.00000000003
charlidamelio,https://www.instagram.com/charlidamelio/,47100000.0,United States,1900000.0,2400000.0,Lifestyle,"['#coffee', '#energy', '#foodgawker', '#inspiration']",114000.0,266000.0
ester_exposito,https://www.instagram.com/ester_exposito/,29000000.0,Russia,2500000.0,3700000.0,Cinema,"['#beautyblogger', '#igers', '#follow4follow', '#extremesports', '#foodoftheday', '#golf', '#success', '#foodtime', '#dog', '#blackandwhite']",150000.0,350000.00000000006
mileycyrus,https://www.instagram.com/mileycyrus/,160200000.0,United States,501600.0,667900.0,Music,"['#inspiration', '#trailrunning', '#cardio', '#photo', '#fashionable', '#foodfeed', '#holidayvibes']",30096.0,70224.0
georginagio,https://www.instagram.com/georginagio/,33400000.0,India,2200000.0,3200000.0,Lifestyle,"['#fashionista', '#foodheaven', '#instalike']",132000.0,308000.00000000006
actorleeminho,https://www.instagram.com/actorleeminho/,28200000.0,Indonesia,2900000.0,3800000.0,Cinema,"['#cars', '#friends', '#football', '#skateboarding', '#inspiration', '#baby']",174000.0,406000.00000000006
gal_gadot,https://www.instagram.com/gal_gadot/,73600000.0,United States,1100000.0,1400000.0,Cinema,"['#foodisart', '#beautyful', '#luxury', '#happiness', '#photography']",66000.0,154000.00000000003
fcbarcelona,https://www.instagram.com/fcbarcelona/,105100000.0,Indonesia,621000.0,950400.0,Sports with a ball,"['#weekend', '#fitness', '#funny']",37260.0,86940.00000000001
akshaykumar,https://www.instagram.com/akshaykumar/,59500000.0,India,1400000.0,1600000.0,Cinema,"['#selfies', '#party', '#motivational']",84000.0,196000.00000000003
shawnmendes,https://www.instagram.com/shawnmendes/,66500000.0,Brazil,923900.0,1400000.0,Music,"['#healthy', '#foodheaven', '#education', '#cars', '#fitlife', '#friendsforever', '#like4like', '#followme', '#swimming', '#surfing']",55434.0,129346.00000000001
milliebobbybrown,https://www.instagram.com/milliebobbybrown/,47500000.0,Brazil,1400000.0,1700000.0,Cinema,"['#doglover', '#football', '#fit']",84000.0,196000.00000000003
chrishemsworth,https://www.instagram.com/chrishemsworth/,53500000.0,India,1200000.0,1500000.0,Cinema,"['#transportation', '#fashionblogger', '#getfit', '#blessed']",72000.0,168000.00000000003
dlwlrma,https://www.instagram.com/dlwlrma/,25000000.0,South Korea,2700000.0,3200000.0,Art,['#vacation'],162000.0,378000.00000000006
oliviarodrigo,https://www.instagram.com/oliviarodrigo/,21600000.0,India,2900000.0,3600000.0,Music,"['#love', '#foodisart', '#quote', '#foodbloggersofinstagram', '#beautiful', '#beauty', '#smiles', '#doglover']",174000.0,406000.00000000006
mosalah,https://www.instagram.com/mosalah/,47900000.0,Egypt,1100000.0,1600000.0,Sports with a ball,['#soccer'],66000.0,154000.00000000003
rashmika_mandanna,https://www.instagram.com/rashmika_mandanna/,28600000.0,India,2300000.0,2700000.0,Beauty,"['#luxury', '#cardio', '#happyholidays', '#inspiration', '#naturephotography', '#athlete', '#gym', '#fitness']",138000.0,322000.00000000006
lelepons,https://www.instagram.com/lelepons/,47300000.0,Mexico,1000000.0,1600000.0,Music,"['#fashionstyle', '#fitness', '#quotes', '#funny', '#tech']",60000.0,140000.0
ursulolita,https://www.instagram.com/ursulolita/,24900000.0,Brazil,2000000.0,3000000.0,Cinema,"['#endurance', '#sports', '#foodislifee', '#yum']",120000.0,280000.0
priyankachopra,https://www.instagram.com/priyankachopra/,74000000.0,India,817700.0,997000.0,Cinema,"['#fashionblogger', '#pilates', '#construction', '#dogstagram', '#blessed', '#foodgrammer', '#holidayseason', '#foodie', '#new']",49062.0,114478.00000000001
lilireinhart,https://www.instagram.com/lilireinhart/,29300000.0,Brazil,1700000.0,2500000.0,Cinema,"['#workout', '#lifeisgood', '#golf', '#cycling']",102000.0,238000.00000000003
handemiyy,https://www.instagram.com/handemiyy/,26700000.0,Turkey,2000000.0,2700000.0,Cinema,"['#entertainment', '#doglovers', '#photo', '#vacation', '#likeforlike', '#realestate', '#foodfeed', '#styleinspiration', '#photooftheday']",120000.0,280000.0
ddlovato,https://www.instagram.com/ddlovato/,125800000.0,United States,439400.0,564800.0,Music,['#lifeisgood'],26364.0,61516.00000000001
blackpinkofficial,https://www.instagram.com/blackpinkofficial/,45200000.0,Indonesia,1200000.0,1500000.0,Music,"['#foodoftheday', '#bestoftheday', '#entertainment', '#smile']",72000.0,168000.00000000003
whinderssonnunes,https://www.instagram.com/whinderssonnunes/,57100000.0,Brazil,781800.0,1200000.0,Humor,"['#bestoftheday', '#fashion', '#flex', '#foodie', '#travel']",46908.0,109452.00000000001
shraddhakapoor,https://www.instagram.com/shraddhakapoor/,68900000.0,India,797300.0,921500.0,Cinema,"['#travelphotography', '#fitlife', '#sun', '#muscle', '#selfies', '#foodjunkie', '#training', '#doglovers', '#instagood']",47838.0,111622.00000000001
meganfox,https://www.instagram.com/meganfox/,18800000.0,United States,2000000.0,3300000.0,Cinema,"['#follow', '#travelphotography', '#beautyful', '#motivation']",120000.0,280000.0
haileybieber,https://www.instagram.com/haileybieber/,41000000.0,United States,1100000.0,1500000.0,Lifestyle,"['#workoutmotivation', '#life', '#instatravel', '#blessings', '#foodieforlife', '#energy', '#muscle', '#musician']",66000.0,154000.00000000003
bn_sj2013,https://www.instagram.com/bn_sj2013/,20900000.0,Indonesia,2500000.0,3000000.0,Cinema,"['#workoutmotivation', '#foodbloggersofinstagram', '#travelphotography']",150000.0,350000.00000000006
kimberly.loaiza,https://www.instagram.com/kimberly.loaiza/,33400000.0,Mexico,1500000.0,1900000.0,Clothing,"['#foodlover', '#blackandwhite', '#goodvibes', '#photography', '#instadaily', '#life']",90000.0,210000.00000000003
real__pcy,https://www.instagram.com/real__pcy/,23600000.0,Indonesia,2200000.0,2700000.0,Music,"['#happyme', '#fitlife', '#beautyblogger', '#beautiful', '#makeup', '#landscape', '#friendshipgoals', '#foodheaven']",132000.0,308000.00000000006
katyperry,https://www.instagram.com/katyperry/,151900000.0,Brazil,319500.0,408100.0,Music,"['#baseball', '#igers', '#foodstylist', '#landscape', '#foodporn', '#blessed', '#fitlife', '#fitness', '#funtime']",19170.0,44730.00000000001
davidbeckham,https://www.instagram.com/davidbeckham/,71100000.0,India,653200.0,866300.0,Family,"['#entrepreneur', '#familytime', '#media', '#beautyful', '#follow', '#like4like', '#sports', '#rugby']",39192.0,91448.00000000001
camila_cabello,https://www.instagram.com/camila_cabello/,60000000.0,Brazil,747600.0,1000000.0,Music,"['#media', '#friendsforlife', '#quotes', '#wanderlust', '#new', '#fashionstyle', '#beauty']",44856.0,104664.00000000001
paulpogba,https://www.instagram.com/paulpogba/,51500000.0,Brazil,623400.0,1100000.0,Sports with a ball,"['#gains', '#fit', '#foodforfoodies', '#beautiful', '#shopping', '#photography']",37404.0,87276.00000000001
aliaabhatt,https://www.instagram.com/aliaabhatt/,58900000.0,India,781800.0,970900.0,Cinema,"['#foodtime', '#foodgawker']",46908.0,109452.00000000001
dojacat,https://www.instagram.com/dojacat/,19700000.0,United States,2100000.0,2900000.0,Music,"['#blogger', '#training', '#tech', '#weekendvibes', '#lovequotes', '#doglover', '#smiles']",126000.0,294000.0
iamsrk,https://www.instagram.com/iamsrk/,28000000.0,India,1600000.0,2000000.0,Cinema,"['#happybirthday', '#shopping', '#life']",96000.0,224000.00000000003
realmadrid,https://www.instagram.com/realmadrid/,109800000.0,Spain,364000.0,505000.0,Sports with a ball,"['#fitness', '#beautyful', '#realestate', '#goodvibes', '#trailrunning']",21840.0,50960.00000000001
jongsuk0206,https://www.instagram.com/jongsuk0206/,21800000.0,Indonesia,1900000.0,2500000.0,Cinema,"['#pilates', '#friendshipgoals', '#foodgrammer', '#soccer', '#landscapephotography', '#nature', '#cycling', '#foodforfoodies', '#vacation']",114000.0,266000.0
miakhalifa,https://www.instagram.com/miakhalifa/,27000000.0,India,1300000.0,2000000.0,Fitness,"['#fitfam', '#fitness', '#dogstagram', '#doglover', '#foodforfoodies', '#goodmorning', '#blessings', '#yoga', '#basketball', '#fitness']",78000.0,182000.00000000003
nasa,https://www.instagram.com/nasa/,73900000.0,India,637700.0,738600.0,Science,"['#cardio', '#styleblogger', '#fashionable', '#foodislifee', '#photooftheday', '#fun', '#trendy']",38262.0,89278.00000000001
bellahadid,https://www.instagram.com/bellahadid/,49100000.0,United States,685300.0,1100000.0,Modeling,"['#blessed', '#lovequotes', '#foodcoma', '#runnersofinstagram', '#instatravel', '#dog', '#foodgrammer', '#golf', '#endurance']",41118.0,95942.00000000001
oohsehun,https://www.instagram.com/oohsehun/,22800000.0,Indonesia,1900000.0,2400000.0,Music,['#motivational'],114000.0,266000.0
niallhoran,https://www.instagram.com/niallhoran/,29200000.0,United States,1300000.0,1800000.0,Music,"['#fun', '#tbt', '#musician', '#friendshipgoals', '#skiing', '#makeup', '#beautifuldestinations', '#football', '#training', '#sunset']",78000.0,182000.00000000003
hoooooyeony,https://www.instagram.com/hoooooyeony/,23500000.0,South Korea,1700000.0,2200000.0,Lifestyle,['#motivational'],102000.0,238000.00000000003
addisonraee,https://www.instagram.com/addisonraee/,40300000.0,United States,826000.0,1300000.0,Beauty,"['#skateboarding', '#photoart', '#foodgawker']",49560.0,115640.00000000001
beingsalmankhan,https://www.instagram.com/beingsalmankhan/,49500000.0,India,818300.0,1000000.0,Cinema,"['#photographer', '#fit', '#foodinspo', '#girlpower', '#smiles']",49098.0,114562.00000000001
twicetagram,https://www.instagram.com/twicetagram/,23500000.0,Indonesia,1700000.0,2100000.0,Music,"['#skiing', '#foodfeed']",102000.0,238000.00000000003
emmawatson,https://www.instagram.com/emmawatson/,65700000.0,United States,549600.0,753600.0,Literature,"['#foodblogfeed', '#endurance', '#education', '#summer', '#happyme', '#picoftheday', '#friendshipgoals', '#fashionphotography']",32976.0,76944.00000000001
zacefron,https://www.instagram.com/zacefron/,51400000.0,United States,665400.0,961700.0,Cinema,"['#instafit', '#fitness', '#goodnight', '#luxury', '#realestate']",39924.0,93156.00000000001
nike,https://www.instagram.com/nike/,199000000.0,United States,200500.0,257800.0,Fitness,['#foodbloggersofinstagram'],12030.0,28070.000000000004
madelame,https://www.instagram.com/madelame/,25400000.0,Russia,1400000.0,1900000.0,Cinema,"['#strength', '#friendsforlife', '#styleblogger', '#doglover', '#foodstagram', '#instatravel']",84000.0,196000.00000000003
virginia,https://www.instagram.com/virginia/,33300000.0,Brazil,923300.0,1400000.0,Shows,"['#surfing', '#fashion', '#beach', '#beautifulday', '#instadaily', '#strength', '#cars', '#sunset']",55398.0,129262.00000000001
jenniferaniston,https://www.instagram.com/jenniferaniston/,39600000.0,Brazil,826400.0,1200000.0,Cinema,"['#marathon', '#baby', '#foodlife', '#yum', '#rugby', '#landscape', '#pilates', '#surfing']",49584.0,115696.00000000001
iamhalsey,https://www.instagram.com/iamhalsey/,28300000.0,United States,1300000.0,1700000.0,Music,"['#holidayseason', '#vacation', '#cute', '#loveit', '#snowboarding', '#goodtimes', '#friendshipgoals', '#photography', '#rugby', '#funny']",78000.0,182000.00000000003
paulodybala,https://www.instagram.com/paulodybala/,45500000.0,Argentina,640200.0,1000000.0,Sports with a ball,"['#instamood', '#selfies', '#foodislifee', '#endurance', '#photographysouls', '#instatravel', '#bestoftheday']",38412.0,89628.00000000001
dovecameron,https://www.instagram.com/dovecameron/,44900000.0,United States,787900.0,1000000.0,Cinema,"['#instatravel', '#snowboarding', '#beautifulday', '#gym']",47274.0,110306.00000000001
antonelaroccuzzo,https://www.instagram.com/antonelaroccuzzo/,18700000.0,Argentina,1500000.0,2400000.0,Modeling,"['#foodcoma', '#girl', '#likeforlike', '#swimming', '#summer2022', '#selfie', '#girlpower', '#quotes', '#foodie', '#yum']",90000.0,210000.00000000003
camimendes,https://www.instagram.com/camimendes/,26900000.0,Brazil,1100000.0,1600000.0,Cinema,"['#follow', '#sports', '#blackandwhite']",66000.0,154000.00000000003
theweeknd,https://www.instagram.com/theweeknd/,36700000.0,United States,858800.0,1200000.0,Music,"['#holidayseason', '#instaphoto', '#foodislifee', '#tennis', '#fit', '#naturelovers', '#smile', '#tbt']",51528.0,120232.00000000001
norafatehi,https://www.instagram.com/norafatehi/,37800000.0,India,917500.0,1100000.0,Cinema,"['#friendsforever', '#wanderlust', '#workoutmotivation', '#blackandwhite', '#crossfit', '#instalike', '#soccer', '#foodporn']",55050.0,128450.00000000001
iamzlatanibrahimovic,https://www.instagram.com/iamzlatanibrahimovic/,52100000.0,Italy,525300.0,806100.0,Sports with a ball,"['#tennis', '#gym', '#happynewyear', '#summer']",31518.0,73542.0
karimbenzema,https://www.instagram.com/karimbenzema/,45200000.0,France,620700.0,895300.0,Sports with a ball,['#holidayseason'],37242.0,86898.00000000001
nehakakkar,https://www.instagram.com/nehakakkar/,67600000.0,India,511500.0,595900.0,Music,"['#happyholidays', '#foodtime']",30690.0,71610.0
skawngur,https://www.instagram.com/skawngur/,16700000.0,Indonesia,1700000.0,2400000.0,Cinema,"['#foodinspo', '#beautiful']",102000.0,238000.00000000003
chrisbrownofficial,https://www.instagram.com/chrisbrownofficial/,103900000.0,United States,247700.0,388400.0,Music,"['#fashionblogger', '#outfit']",14862.0,34678.0
hi_high_hiy,https://www.instagram.com/hi_high_hiy/,12300000.0,South Korea,2700000.0,3200000.0,Cinema,"['#beautiful', '#fun', '#art', '#blessed', '#foodie', '#beach', '#foodislifee', '#baseball']",162000.0,378000.00000000006
realstraykids,https://www.instagram.com/realstraykids/,19100000.0,Indonesia,1600000.0,2000000.0,Music,"['#fitnessmotivation', '#travel', '#model', '#foodstylist', '#coffee', '#goodvibes']",96000.0,224000.00000000003
songkang_b,https://www.instagram.com/songkang_b/,12800000.0,Mexico,2100000.0,2900000.0,Undefined,"['#boxing', '#tech', '#happiness', '#cars']",126000.0,294000.0
vindiesel,https://www.instagram.com/vindiesel/,78200000.0,Brazil,363400.0,467200.0,Cinema,"['#blackandwhite', '#shopping']",21804.0,50876.00000000001
sergioramos,https://www.instagram.com/sergioramos/,49400000.0,Spain,477400.0,731700.0,Sports with a ball,"['#followme', '#instagood', '#success', '#swimming', '#fashionista']",28644.0,66836.0
shakira,https://www.instagram.com/shakira/,71600000.0,India,367500.0,500700.0,Music,"['#landscape', '#golf', '#goodmorning', '#couplesgoals', '#hockey']",22050.0,51450.00000000001
louist91,https://www.instagram.com/louist91/,18100000.0,Brazil,1400000.0,2000000.0,Music,"['#media', '#cars', '#friends', '#style']",84000.0,196000.00000000003
ladygaga,https://www.instagram.com/ladygaga/,51400000.0,United States,483200.0,674700.0,Music,"['#fashionstyle', '#quote']",28992.0,67648.0
varundvn,https://www.instagram.com/varundvn/,39900000.0,India,706500.0,862400.0,Cinema,"['#naturelovers', '#foodtime', '#fitspo', '#foodlife', '#sundayfunday', '#igers', '#holidayseason']",42390.0,98910.00000000001
kjapa,https://www.instagram.com/kjapa/,19100000.0,United States,1200000.0,1800000.0,Cinema,"['#lifestyle', '#beauty', '#foodie']",72000.0,168000.00000000003
dannapaola,https://www.instagram.com/dannapaola/,33200000.000000004,Mexico,705800.0,1000000.0,Music,"['#foodporn', '#golf']",42348.0,98812.00000000001
iansomerhalder,https://www.instagram.com/iansomerhalder/,22300000.0,United States,1000000.0,1500000.0,Cinema,['#instadaily'],60000.0,140000.0
saraalikhan95,https://www.instagram.com/saraalikhan95/,39300000.0,India,699900.0,852000.0,Cinema,"['#training', '#beautyful', '#goodnight', '#quote', '#cute', '#education', '#fashionista', '#beautiful']",41994.0,97986.00000000001
jannatzubair29,https://www.instagram.com/jannatzubair29/,40000000.0,India,682800.0,833600.0,Cinema,"['#golf', '#snowboarding']",40968.0,95592.00000000001
deepikapadukone,https://www.instagram.com/deepikapadukone/,64200000.0,India,394500.0,516300.0,Cinema,['#health'],23670.0,55230.00000000001
championsleague,https://www.instagram.com/championsleague/,87900000.0,Brazil,277700.0,376000.0,Sports with a ball,"['#fitnessmotivation', '#foodforfoodies', '#beautiful', '#travel', '#goodvibes', '#foodfeed', '#instafit', '#luxury', '#fashion', '#crossfit']",16662.0,38878.00000000001
sabrinacarpenter,https://www.instagram.com/sabrinacarpenter/,26600000.0,Brazil,1000000.0,1200000.0,Music,"['#doglovers', '#holidayseason', '#football', '#money', '#foodstylist']",60000.0,140000.0
juliette,https://www.instagram.com/juliette/,33400000.0,Brazil,629400.0,996000.0,Cinema,"['#cars', '#foodgrammer', '#instafit', '#trailrunning', '#fitfam', '#goodvibes']",37764.0,88116.00000000001
alluarjunonline,https://www.instagram.com/alluarjunonline/,16399999.999999998,India,1600000.0,2000000.0,Cinema,"['#fitlife', '#foodfeed', '#instaphoto', '#landscapephotography']",96000.0,224000.00000000003
maluma,https://www.instagram.com/maluma/,60900000.0,Italy,341400.0,529300.0,Music,"['#foodgawker', '#strength', '#manufacturing', '#cardio', '#workoutmotivation', '#foodnetwork']",20484.0,47796.00000000001
hazardeden_10,https://www.instagram.com/hazardeden_10/,26900000.0,Spain,729500.0,1200000.0,Sports with a ball,"['#trendy', '#healthy', '#model', '#foodtime', '#foodnetwork']",43770.0,102130.00000000001
hrithikroshan,https://www.instagram.com/hrithikroshan/,41300000.0,India,601800.0,761600.0,Cinema,['#instadaily'],36108.0,84252.00000000001
luisitocomunica,https://www.instagram.com/luisitocomunica/,31000000.0,Mexico,734700.0,970700.0,Humor,"['#dogsofinstagram', '#baseball', '#foodstylist', '#amazing', '#gym', '#foodinspo', '#happy', '#yoga', '#wanderlust', '#telecom']",44082.0,102858.00000000001
jacksonwang852g7,https://www.instagram.com/jacksonwang852g7/,27000000.0,China,934200.0,1100000.0,Music,"['#picoftheday', '#fashion']",56052.0,130788.00000000001
madisonbeer,https://www.instagram.com/madisonbeer/,30100000.0,United States,665500.0,992500.0,Music,"['#fitspo', '#foodcoma', '#baseball', '#igers', '#naturelovers', '#instapic', '#followme', '#happybirthday']",39930.0,93170.00000000001
kunaguero,https://www.instagram.com/kunaguero/,21800000.0,Argentina,777700.0,1300000.0,Sports with a ball,['#food'],46662.0,108878.00000000001
